League,Team,Code
mlb,San Franciso Giants,SF
mlb,St Louis Cardinals,STL
mlb,St. Louis Cardinals,STL
mlb,Tampa Bay Devil Rays,TB
mlb,Tampa Bay Rays,TB
mlb,Texas Rangers,TEX
mlb,Toronto Blue Jays,TOR
mlb,Washington Nationals,WAS
mls,Atlanta United,ATL
mls,Atlanta United FC,ATL
mls,Austin FC,ATX
mls,Chicago Fire,CHI
mls,Chicago Fire FC,CHI
mls,Chivas USA,CHV
mls,FC Cincinnati,CIN
mls,Columbus Crew,CLB
mls,Charlotte FC,CLT
mls,Colorado Rapids,COL
mls,FC Dallas,DAL
mls,D.C. United,DC
mls,DC United,DC
mls,Houston Dynamo,HOU
mls,Houston Dynamo FC,HOU
mls,LA Galaxy,LA
mls,LAFC,LAFC
mls,Los Angeles FC,LAFC
mls,Club Internacional de Fútbol Miami,MIA
mls,Inter Miami CF,MIA
mls,Inter Miami FC,MIA
mls,Minnesota United,MIN
mls,Minnesota United FC,MIN
mls,CF Montreal,MTL
mls,CF Montréal,MTL
mls,Montreal Impact,MTL
mls,New England Revolution,NE
mls,Nashville SC,NSH
mls,Nashville SC MLS,NSH
mls,New York Red Bulls,NY
mls,New York City,NYC
mls,New York City FC,NYC
mls,Orlando City,ORL
mls,Orlando City SC,ORL
mls,Philadelphia Union,PHI
mls,Portland Timbers,POR
mls,Real Salt Lake,RSL
mls,Seattle Sounders,SEA
mls,Seattle Sounders FC,SEA
mls,San Jose Earthquakes,SJ
mls,Sporting Kansas City,SKC
mls,St. Louis City SC,STL
mls,MLS,TEMP
mls,Toronto FC,TOR
mls,Vancouver Whitecaps,VAN
mls,Vancouver Whitecaps FC,VAN
mls,Atlanta Utd,ATL
mls,Charlotte,CLT
mls,Los Angeles Galaxy,LA
mls,Inter Miami,MIA
mls,St. Louis City,STL
nba,Atlanta Hawks,ATL
nba,Brooklyn Nets,BKN
nba,Boston Celtics,BOS
nba,Charlotte Bobcats,CHA
nba,Charlotte Hornets,CHA
nba,Chicago Bulls,CHI
nba,Cleveland Cavaliers,CLE
nba,Dallas Mavericks,DAL
nba,Denver Nuggets,DEN
nba,Detroit Pistons,DET
nba,Golden State Warriors,GS
nba,Houston Rockets,HOU
nba,Indiana Pacers,IND
nba,LA Clippers,LAC
nba,Los Angeles Clippers,LAC
nba,LA Lakers,LAL
nba,Los Angeles Lakers,LAL
nba,Memphis Grizzlies,MEM
nba,Miami Heat,MIA
nba,Milwaukee Bucks,MIL
nba,Minnesota Timberwolves,MIN
nba,New Jersey Nets,NJ
nba,New Orleans Hornets,NO
nba,New Orleans Pelicans,NO
nba,NO/Oklahoma City Hornets,NO
nba,"NO/Oklahoma City

 Hornets",NO
nba,New York Knicks,NY
nba,NY Knicks,NY
nba,Oklahoma City Thunder,OKC
nba,Orlando Magic,ORL
nba,Philadelphia 76ers,PHI
nba,Phoenix Suns,PHX
nba,Portland Trail Blazers,POR
nba,San Antonio Spurs,SA
nba,Sacramento Kings,SAC
nba,Seattle SuperSonics,SEA
nba,Toronto Raptors,TOR
nba,Utah Jazz,UTAH
nba,Washington Wizards,WSH
nfl,Arizona Cardinals,ARI
nfl,Atlanta Falcons,ATL
nfl,Baltimore Ravens,BAL
nfl,Buffalo Bills,BUF
nfl,Carolina Panthers,CAR
nfl,Chicago Bears,CHI
nfl,Cincinnati Bengals,CIN
nfl,Cleveland Browns,CLE
nfl,Dallas Cowboys,DAL
nfl,Denver Broncos,DEN
nfl,Detroit Lions,DET
nfl,Green Bay Packers,GB
nfl,Houston Texans,HOU
nfl,Indianapolis Colts,IND
nfl,Jacksonville Jaguars,JAX
nfl,Kansas City Chiefs,KC
nfl,Los Angeles Chargers,LAC
nfl,Los Angeles Rams,LAR
nfl,Las Vegas Raiders,LV
nfl,Miami Dolphins,MIA
nfl,Minnesota Vikings,MIN
nfl,New England Patriots,NE
nfl,New Orleans Saints,NO
nfl,New York Giants,NYG
nfl,New York Jets,NYJ
nfl,Oakland Raiders,OAK
nfl,Philadelphia Eagles,PHI
nfl,Pittsburgh Steelers,PIT
nfl,San Diego Chargers,SD
nfl,Seattle Seahawks,SEA
nfl,San Francisco 49ers,SF
nfl,St Louis Rams,STL
nfl,St. Louis Rams,STL
nfl,Tampa Bay Buccaneers,TB
nfl,Tampa Bay Bucs,TB
nfl,Tennessee Titans,TEN
nfl,Washington,WSH
nfl,Washington Commanders,WSH
nfl,Washington Football Team,WSH
nfl,Washington Redskins,WSH
nhl,Anaheim Ducks,ANA
nhl,Anaheim Mighty Ducks,ANA
nhl,Arizona Coyotes,ARI
nhl,Atlanta Thrashers,ATL
nhl,Boston Bruins,BOS
nhl,Buffalo Sabres,BUF
nhl,Carolina Hurricanes,CAR
nhl,Columbus Blue Jackets,CBJ
nhl,Calgary Flames,CGY
nhl,Chicago Blackhawks,CHI
nhl,Colorado Avalanche,COL
nhl,Dallas Stars,DAL
nhl,Detroit Red Wings,DET
nhl,Edmonton Oilers,EDM
nhl,Florida Panthers,FLA
nhl,LA Kings,LA
nhl,Los Angeles Kings,LA
nhl,Minnesota Wild,MIN
nhl,Montreal Canadiens,MTL
nhl,New Jersey Devils,NJ
nhl,Nashville Predators,NSH
nhl,New York Islanders,NYI
nhl,New York Rangers,NYR
nhl,Ottawa Senators,OTT
nhl,Philadelphia Flyers,PHI
nhl,Phoenix Coyotes,PHX
nhl,Pittsburgh Pengiuns,PIT
nhl,Pittsburgh Penguins,PIT
nhl,Seattle Kraken,SEA
nhl,San Jose Sharks,SJ
nhl,St Louis Blues,STL
nhl,St. Louis Blues,STL
nhl,Tampa Bay Lightning,TB
nhl,Toronto Maple Leafs,TOR
nhl,Vancouver Canucks,VAN
nhl,Vegas Golden Knights,VGK
nhl,Winnipeg Jets,WPG
nhl,Washington Capitals,WSH
spn,Alaves,ALA
spn,Alavés,ALA
spn,Deportivo Alaves,ALA
spn,Albacete,ALB
spn,Almeria,ALM
spn,Almería,ALM
spn,UD Almería,ALM
spn,Ath Bilbao,ATH
spn,Athletic Bilbao,ATH
spn,Athletic Club,ATH
spn,Athletic Club Bilbao,ATH
spn,Ath Madrid,ATM
spn,Atletico Madrid,ATM
spn,Club Atlético de Madrid,ATM
spn,Barcelona,BAR
spn,FC Barcelona,BAR
spn,Betis,BET
spn,Real Betis,BET
spn,Real Betis Balompié,BET
spn,Cadiz,CAD
spn,Cádiz,CAD
spn,Cádiz CF,CAD
spn,Celta,CEL
spn,Celta Vigo,CEL
spn,Real Club Celta de Vigo,CEL
spn,Cordoba,COR
spn,Córdoba,COR
spn,Deportivo La Coruna,DEP
spn,Deportivo La Coruña,DEP
spn,La Coruna,DEP
spn,Eibar,EIB
spn,Elche,ELC
spn,Elche CF,ELC
spn,Espanol,ESP
spn,Espanyol,ESP
spn,Reial Club Deportiu Espanyol,ESP
spn,Getafe,GET
spn,Getafe Club de Fútbol,GET
spn,Gimnastic de Tarragona,GIM
spn,Girona,GIR
spn,Girona FC,GIR
spn,Granada,GRA
spn,Hercules,HER
spn,Huesca,HUE
spn,Recreativo Huelva,HUX
spn,Leganes,LEG
spn,Leganés,LEG
spn,Levante,LEV
spn,Las Palmas,LPA
spn,Malaga,MCF
spn,Málaga,MCF
spn,Mallorca,MLL
spn,Real Club Deportivo Mallorca,MLL
spn,Murcia,MUR
spn,Numancia,NUM
spn,CA Osasuna,OSA
spn,Osasuna,OSA
spn,Racing Santander,RAC
spn,Rayo Vallecano,RAY
spn,Vallecano,RAY
spn,Real Madrid,RMA
spn,Real Madrid CF,RMA
spn,Sp Gijon,RSG
spn,Sporting Gijon,RSG
spn,Sporting Gijón,RSG
spn,Real Sociedad,RSO
spn,Real Sociedad de Fútbol,RSO
spn,Sociedad,RSO
spn,Sevilla,SEV
spn,Sevilla FC,SEV
spn,Tenerife,TEN
spn,Valencia,VAL
spn,Valencia CF,VAL
spn,Villarreal,VIL
spn,Villarreal CF,VIL
spn,Real Valladolid,VLL
spn,Real Valladolid Club de Fútbol,VLL
spn,Valladolid,VLL
spn,Xerez,XER
spn,Real Zaragoza,ZAR
